"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-004","이촌1주차장","573","35166","2021/10"
"PLT-008","여의도5주차장","816","169701","2021/10"
"PLT-002","난지123주차장","30361","2023920","2021/10"
"PLT-008","여의도5주차장","5039","1269231","2021/10"
"PLT-004","이촌1주차장","1419","94798","2021/10"
"PLT-008","여의도2주차장","12839","1506041","2021/10"
"PLT-003","망원1주차장","3968","300162","2021/10"
"PLT-004","이촌34주차장","17240","1382926","2021/10"
"PLT-005","뚝섬3주차장","2746","258996","2021/10"
"PLT-002","난지123주차장","13666","993766","2021/10"
"PLT-006","광나루12주차장","10250","758781","2021/10"
"PLT-001","강서1주차장","4516","319967","2021/10"
"PLT-005","뚝섬4주차장","10854","977481","2021/10"
"PLT-008","여의도5주차장","4434","1115150","2021/10"
"PLT-002","난지123주차장","1988","127121","2021/10"
"PLT-005","뚝섬4주차장","2665","266604","2021/10"
"PLT-006","광나루3주차장","8925","552936","2021/10"
"PLT-010","잠원1-6주차장","39801","3419363","2021/10"
"PLT-006","광나루12주차장","9548","708925","2021/10"
"PLT-005","뚝섬3주차장","16855","1462585","2021/09"
"PLT-008","여의도1주차장","113000","10633130","2021/09"
"PLT-004","이촌34주차장","40193","3164071","2021/09"
"PLT-005","뚝섬2주차장","32490","3241156","2021/09"
"PLT-007","양화2주차장","2849","220950","2021/09"
"PLT-005","뚝섬3주차장","17276","1497999","2021/09"
"PLT-004","이촌2주차장","2451","175640","2021/09"
"PLT-005","뚝섬1주차장","2174","154811","2021/09"
"PLT-011","잠실1234주차장","32373","1963631","2021/09"
"PLT-008","여의도5주차장","1310","93653","2021/09"
"PLT-004","이촌1주차장","3404","202633","2021/09"
"PLT-001","강서1주차장","10118","718579","2021/09"
"PLT-011","잠실1234주차장","116119","7881728","2021/09"
"PLT-005","뚝섬1주차장","8665","665159","2021/09"
"PLT-006","광나루12주차장","5799","384797","2021/09"
"PLT-006","광나루3주차장","31623","1425405","2021/09"
"PLT-007","양화1주차장","10346","945670","2021/09"
"PLT-009","반포23주차장","103680","7311584","2021/09"
"PLT-010","잠원1-6주차장","19594","1427787","2021/09"
"PLT-004","이촌2주차장","5359","395031","2021/09"
"PLT-003","망원1주차장","2763","196773","2021/09"
"PLT-007","양화345주차장","7495","580011","2021/09"
"PLT-005","뚝섬4주차장","9156","806708","2021/09"
"PLT-001","강서1주차장","7703","532416","2021/09"
"PLT-007","양화345주차장","657","25258","2021/09"
"PLT-003","망원1주차장","233","12303","2021/09"
"PLT-006","광나루12주차장","539","13433","2021/09"
"PLT-009","반포1주차장","3862","214073","2021/09"
"PLT-001","강서1주차장","190","7065","2021/09"
"PLT-011","잠실1234주차장","2868","74983","2021/09"
"PLT-005","뚝섬3주차장","454","21489","2021/09"
"PLT-008","여의도4주차장","435","16055","2021/09"
"PLT-001","강서1주차장","3405","231983","2021/09"
"PLT-011","잠실1234주차장","40907","2584867","2021/09"
"PLT-005","뚝섬1주차장","2935","216155","2021/09"
"PLT-004","이촌1주차장","131","5534","2021/09"
"PLT-011","잠실1234주차장","85455","5768352","2021/09"
"PLT-007","양화2주차장","679","50033","2021/09"
"PLT-002","난지123주차장","27057","1776921","2021/09"
"PLT-008","여의도3주차장","15306","2753019","2021/09"
"PLT-005","뚝섬2주차장","6878","673021","2021/09"
"PLT-005","뚝섬1주차장","101","3347","2021/09"
"PLT-005","뚝섬2주차장","1782","103251","2021/09"
"PLT-003","망원23주차장","30624","2718683","2021/09"
"PLT-005","뚝섬2주차장","32490","3241156","2021/09"
"PLT-006","광나루3주차장","32422","1471758","2021/09"
"PLT-006","광나루3주차장","17988","913444","2021/09"
"PLT-007","양화1주차장","6659","604611","2021/09"
"PLT-009","반포23주차장","64650","4503192","2021/09"
"PLT-009","반포23주차장","101792","7191602","2021/09"
"PLT-007","양화1주차장","10114","912852","2021/09"
"PLT-006","광나루3주차장","30920","1391319","2021/09"
"PLT-005","뚝섬3주차장","16642","1445879","2021/09"
